Detection RA Dec Reference MinFreq MidFreq MaxFreq Channels Shape
1 150.1359 3.20530 UGC05377 1.4085 1.410367 1.412 3 Double
2 150.9865 2.4142 - 1.381 1.383614 1.387 9 Double
3 150.9666 2.4221 - 1.382 1.383405 1.385 2 Single
4 150.5949 2.4223 - 1.388 1.390720 1.393 2 Single
5 150.4742 2.413 - 1.409 1.410785 1.413 3 Single
6 150.3143 2.3055 - 1.3805 1.380897 1.3825 3 Double
7 150.0381 2.7656 - 1.3805 1.380897 1.3925 1 Single
8 150.3650 2.3394 - 1.4085 1.410785 1.4125 1 Single
9 149.6965 2.3481 AGC193373 1.409 1.412248 1.415 3 Single
10 149.768 2.2537 - 1.384 1.386331 1.388 2 Single
11 149.8131 2.1901 - 1.384 1.386331 1.389 3 Single
12 149.8656 2.0067 - 1.399 1.402425 1.406 4 Single
13 150.1249 2.1495 - 1.412 1.414547 1.417 2 Single
14 150.5480 2.0192 - 1.388 1.390720 1.393 3 Single
15 150.6124 2.1664 - 1.41 1.412039 1.414 2 Single
16 150.8136 2.095 AGC201901 1.41 1.412248 1.415 3 Single
17 149.9622 1.7066 - 1.383 1.385704 1.39 3 Single
18 150.3461 1.7935 - 1.384 1.385913 1.388 3 Single
19 150.0246 1.9091 - 1.41 1.411621 1.414 3 Single
20 149.6251 1.6932 AGC191796/HIPASSJ0958+01 1.409 1.41183 1.415 4 Single
21 150.2074 1.3336 AGC191640 1.388 1.390511 1.393 4 Single
