Detection RA Dec Ref MinFreq MidFreq MaxFreq MinSpec MaxSpec Profile log(MHI) MHI(1e9) Name z log(Mstellar) log(SFR) log(Age) EBV umag gmag rmag Semimaj Semimin PA
1 149.846692 2.693685 - 1.354000 1.355819 1.357000 1.355192 1.356446 Flat 8.983000 0.961612 MGTH_J095923.2+024137 0.047637 9.680960 -0.148713 9.903090 0.050000 18.364504 17.424356 16.977141 12.135000 6.913000 80.000000
4 150.430155 2.685806 AGC208525 1.355000 1.356655 1.368000 1.356237 1.357282 Flat 9.712000 5.152286 MGTH_J100143.2+024109 0.046991 9.239940 -0.081352 9.477121 0.100000 18.593977 17.721064 17.366805 16.782000 12.575000 0.000000
5 150.038618 2.713136 AGC204456 1.374000 1.375466 1.377000 1.375257 1.376093 Double 9.472000 2.964831 MGTH_J100009.3+024247 0.032672 9.457610 -0.521555 9.875061 0.000000 0.000000 17.083673 16.655813 19.904000 10.339000 330.000000
7 149.756951 2.549942 - 1.379000 1.380482 1.382000 1.380064 1.380900 Flat,lopsided 8.801000 0.632412 MGTH_J095901.7+023300 0.028920 7.561650 -0.414986 8.006543 0.200000 19.502996 18.873676 18.688301 7.635000 5.561000 90.000000
8 150.807844 2.341862 - 1.365000 1.367106 1.369000 1.3669 1.367732 Gaussian,lopsided 9.320000 2.089296 MGTH_J100313.9+022031 0.038987 -99.000000 -99.000000 0.000000 -99.000000 0.000000 0.000000 0.000000 4.000000 4.000000 0.000000
10 150.171143 2.412895 - 1.355000 1.356655 1.358000 1.356237 1.357073 Gaussian 9.068000 1.169499 MGTH_J100041.1+022446 0.046991 8.193820 -0.424585 8.756548 0.300000 20.867460 19.977257 19.594132 5.342000 5.111000 90.000000
11 150.404485 2.106620 - 1.358000 1.359790 1.361000 1.359372 1.359999 Gaussian 8.491000 0.309742 MGTH_J100137.1+020624 0.044577 8.929380 -0.673457 9.812913 0.100000 19.620231 18.691700 18.272216 8.493000 8.422000 90.000000
12 150.230087 2.395457 AGC204457 1.358000 1.360208 1.362000 1.359372 1.360626 Flat,lopsided 9.274000 1.879317 MGTH_J100055.2+022344 0.044256 10.416000 -0.122561 9.845098 0.050000 17.547062 16.214165 15.586224 21.680000 13.983000 0.000000
13 150.313451 2.306401 - 1.379000 1.381109 1.383000 1.380273 1.381318 Flat,lopsided 9.248000 1.770109 MGTH_J100115.2+021823 0.028453 8.610820 -0.783372 9.414973 0.000000 18.468288 17.761891 17.487835 15.423000 5.408000 345.000000
14 149.335627 1.918625 AGC191619 1.374000 1.376302 1.378000 1.375884 1.376929 Gaussian 9.690000 4.897788 MGTH_J095720.6+015507 0.032045 10.139600 0.196737 10.041393 0.000000 0.000000 15.360500 14.965485 35.412000 26.773000 50.000000
17 150.652261 1.809967 AGC204626 1.357000 1.358536 1.360000 1.358327 1.359163 Gaussian 9.725000 5.308844 MGTH_J100236.5+014836 0.045541 9.224400 0.012106 8.506547 0.200000 0.000000 17.111529 16.771557 19.500000 18.134000 90.000000
18 149.892392 1.618295 - 1.375000 1.376511 1.378000 1.376302 1.376720 Gaussian 8.633000 0.429536 MGTH_J095934.2+013706 0.031888 8.112330 -1.177900 8.856548 0.050000 0.000000 18.812425 18.619015 6.885000 6.836000 90.000000
19 150.806308 1.895350 AGC204628 1.357000 1.358536 1.361000 1.358118 1.358745 Gaussian 9.451000 2.824880 MGTH_J100313.5+015343 0.045541 -99.000000 -99.000000 0.000000 -99.000000 0.000000 0.000000 0.000000 4.000000 4.000000 0.000000
20 150.550541 3.053238 AGC191786 1.376000 1.379228 1.382000 1.378601 1.379646 Double 8.900000 0.794328 MGTH_J100212.1+030312 0.029856 -99.000000 -99.000000 0.000000 -99.000000 0.000000 0.000000 0.000000 4.000000 4.000000 0.000000
21 150.146449 1.242436 AGC204623 1.356000 1.357700 1.360000 1.357282 1.358536 Double 9.792000 6.194411 MGTH_J100035.1+011433 0.046185 -99.000000 -99.000000 0.000000 -99.000000 0.000000 0.000000 0.000000 4.000000 4.000000 0.000000
22 150.200610 1.237149 AGC191427 1.356000 1.357700 1.360000 1.357282 1.358327 Double 9.985000 9.660509 MGTH_J100048.1+011414 0.046185 -99.000000 -99.000000 0.000000 -99.000000 0.000000 0.000000 0.000000 4.000000 4.000000 0.000000
23 150.746028 2.342968 AGC201244 1.358000 1.360208 1.362000 1.359372 1.361044 Double 9.769000 5.874894 MGTH_J100259.0+022035 0.044256 10.926200 0.901709 9.778151 0.150000 0.000000 14.804226 14.183091 34.755000 30.155000 50.000000
24 150.294581 2.832219 - 1.341000 1.343279 1.345000 1.342861 1.343697 Gaussian,lopsided 8.505000 0.319890 MGTH_J100110.7+024956 0.057417 9.203150 -1.214960 9.812913 0.200000 0.000000 19.969953 19.242260 6.618000 2.648000 25.000000
25 150.033782 2.765133 - 1.379000 1.380273 1.382000 1.3799 1.381109 Gaussian,lopsided 9.116000 1.306171 MGTH_J100008.1+024554 0.029076 10.047400 0.284639 9.954243 0.200000 0.000000 15.954721 15.442971 11.579000 11.065000 0.000000
30 150.988075 2.418039 AGC201251 1.382000 1.383617 1.385000 1.382572 1.384935 Flat,lopsided 9.586000 3.854784 MGTH_J100357.1+022505 0.026589 -99.000000 -99.000000 0.000000 -99.000000 0.000000 0.000000 0.000000 4.000000 4.000000 0.000000
31 150.968441 2.426136 - 1.382000 1.383408 1.385000 1.383199 1.383617 Gaussian 8.872000 0.744732 MGTH_J100352.4+022534 0.026744 -99.000000 -99.000000 0.000000 -99.000000 0.000000 0.000000 0.000000 4.000000 4.000000 0.000000
33 150.679479 1.995548 - 1.338000 1.340144 1.342000 1.339935 1.3406 Gaussian 9.223000 1.671091 MGTH_J100243.1+015944 0.059890 8.267280 -1.317080 9.301030 0.300000 0.000000 21.905879 21.224922 4.763000 4.672000 90.000000
34 150.345539 1.793541 - 1.384000 1.385916 1.387000 1.385498 1.386125 Gaussian 8.626000 0.422669 MGTH_J100122.9+014737 0.024886 7.633860 -1.015600 8.806548 0.150000 19.793967 19.101079 18.902416 12.207000 5.380000 50.000000
37 149.964278 1.706680 - 1.384000 1.385707 1.387000 1.385498 1.385916 Gaussian 8.813000 0.650130 MGTH_J095951.4+014224 0.025040 7.183550 -0.914351 8.206545 0.100000 0.000000 19.196451 19.114004 9.242000 6.346000 130.000000
39 149.593779 1.584713 - 1.380000 1.382572 1.384000 1.382363 1.382781 Gaussian 9.037000 1.088930 MGTH_J095822.5+013505 0.027365 -99.000000 -99.000000 0.000000 -99.000000 0.000000 0.000000 0.000000 4.000000 4.000000 0.000000
40 150.099013 2.368161 - 1.372000 1.375466 1.380000 1.375257 1.375675 Gaussian 7.916000 0.082414 MGTH_J100023.8+022205 0.032672 7.598450 -1.985920 9.301030 0.050000 21.790596 20.961849 20.544352 6.693000 4.445000 90.000000
48 149.369742 3.085745 - 1.338000 1.341607 1.345000 1.341398 1.342025 Gaussian 9.853000 7.128530 MGTH_J095728.7+030509 0.058735 -99.000000 -99.000000 0.000000 -99.000000 0.000000 0.000000 0.000000 4.000000 4.000000 0.000000
49 149.363779 1.872430 AGC193557 1.374000 1.375257 1.377000 1.374839 1.375675 Gaussian 8.807000 0.641210 MGTH_J095727.3+015221 0.032829 8.311560 0.177483 8.006543 0.300000 0.000000 17.897732 17.595738 12.251000 10.417000 90.000000
54 150.652188 1.771678 - 1.357000 1.358900 1.363000 1.358536 1.359581 Double 8.744000 0.554626 MGTH_J100236.5+014618 0.045261 7.942250 -1.321080 9.380211 0.100000 0.000000 20.452731 20.160727 9.091000 5.824000 30.000000
